PS-b-2PLA	
X:	Y:
1.59667	-0.106
1.59833	-0.118
1.6	-0.128
1.60167	-0.111
1.60333	-0.111
1.605	-0.12
1.60667	-0.127
1.60833	-0.112
1.61	-0.113
1.61167	-0.125
1.61333	-0.132
1.615	-0.118
1.61667	-0.116
1.61833	-0.125
1.62	-0.13
1.62167	-0.115
1.62333	-0.114
1.625	-0.127
1.62667	-0.133
1.62833	-0.119
1.63	-0.118
1.63167	-0.129
1.63333	-0.137
1.635	-0.119
1.63667	-0.116
1.63833	-0.13
1.64	-0.142
1.64167	-0.127
1.64333	-0.124
1.645	-0.134
1.64667	-0.141
1.64833	-0.125
1.65	-0.122
1.65167	-0.13
1.65333	-0.138
1.655	-0.122
1.65667	-0.116
1.65833	-0.125
1.66	-0.129
1.66167	-0.113
1.66333	-0.113
1.665	-0.126
1.66667	-0.135
1.66833	-0.121
1.67	-0.115
1.67167	-0.125
1.67333	-0.134
1.675	-0.118
1.67667	-0.112
1.67833	-0.125
1.68	-0.138
1.68167	-0.124
1.68333	-0.12
1.685	-0.132
1.68667	-0.138
1.68833	-0.123
1.69	-0.121
1.69167	-0.129
1.69333	-0.137
1.695	-0.119
1.69667	-0.112
1.69833	-0.126
1.7	-0.139
1.70167	-0.123
1.70333	-0.113
1.705	-0.124
1.70667	-0.134
1.70833	-0.119
1.71	-0.114
1.71167	-0.121
1.71333	-0.135
1.715	-0.117
1.71667	-0.113
1.71833	-0.121
1.72	-0.13
1.72167	-0.117
1.72333	-0.111
1.725	-0.119
1.72667	-0.131
1.72833	-0.118
1.73	-0.114
1.73167	-0.123
1.73333	-0.133
1.735	-0.118
1.73667	-0.107
1.73833	-0.113
1.74	-0.127
1.74167	-0.117
1.74333	-0.11
1.745	-0.122
1.74667	-0.135
1.74833	-0.122
1.75	-0.119
1.75167	-0.129
1.75333	-0.141
1.755	-0.127
1.75667	-0.118
1.75833	-0.126
1.76	-0.14
1.76167	-0.127
1.76333	-0.121
1.765	-0.133
1.76667	-0.141
1.76833	-0.128
1.77	-0.122
1.77167	-0.131
1.77333	-0.143
1.775	-0.131
1.77667	-0.117
1.77833	-0.123
1.78	-0.138
1.78167	-0.124
1.78333	-0.113
1.785	-0.117
1.78667	-0.132
1.78833	-0.12
1.79	-0.112
1.79167	-0.119
1.79333	-0.135
1.795	-0.123
1.79667	-0.115
1.79833	-0.123
1.8	-0.134
1.80167	-0.124
1.80333	-0.117
1.805	-0.12
1.80667	-0.132
1.80833	-0.123
1.81	-0.115
1.81167	-0.122
1.81333	-0.137
1.815	-0.125
1.81667	-0.117
1.81833	-0.122
1.82	-0.135
1.82167	-0.125
1.82333	-0.115
1.825	-0.123
1.82667	-0.136
1.82833	-0.125
1.83	-0.113
1.83167	-0.119
1.83333	-0.135
1.835	-0.123
1.83667	-0.109
1.83833	-0.115
1.84	-0.134
1.84167	-0.125
1.84333	-0.119
1.845	-0.127
1.84667	-0.139
1.84833	-0.132
1.85	-0.125
1.85167	-0.131
1.85333	-0.141
1.855	-0.129
1.85667	-0.119
1.85833	-0.124
1.86	-0.137
1.86167	-0.131
1.86333	-0.12
1.865	-0.122
1.86667	-0.137
1.86833	-0.129
1.87	-0.118
1.87167	-0.121
1.87333	-0.135
1.875	-0.127
1.87667	-0.116
1.87833	-0.119
1.88	-0.134
1.88167	-0.125
1.88333	-0.114
1.885	-0.122
1.88667	-0.135
1.88833	-0.127
1.89	-0.118
1.89167	-0.124
1.89333	-0.138
1.895	-0.131
1.89667	-0.12
1.89833	-0.126
1.9	-0.144
1.90167	-0.135
1.90333	-0.125
1.905	-0.129
1.90667	-0.143
1.90833	-0.134
1.91	-0.12
1.91167	-0.122
1.91333	-0.136
1.915	-0.13
1.91667	-0.122
1.91833	-0.126
1.92	-0.14
1.92167	-0.133
1.92333	-0.12
1.925	-0.126
1.92667	-0.142
1.92833	-0.132
1.93	-0.12
1.93167	-0.128
1.93333	-0.143
1.935	-0.14
1.93667	-0.129
1.93833	-0.133
1.94	-0.145
1.94167	-0.134
1.94333	-0.12
1.945	-0.122
1.94667	-0.137
1.94833	-0.131
1.95	-0.119
1.95167	-0.124
1.95333	-0.14
1.955	-0.136
1.95667	-0.124
1.95833	-0.132
1.96	-0.144
1.96167	-0.135
1.96333	-0.117
1.965	-0.123
1.96667	-0.141
1.96833	-0.136
1.97	-0.123
1.97167	-0.128
1.97333	-0.139
1.975	-0.13
1.97667	-0.118
1.97833	-0.119
1.98	-0.132
1.98167	-0.124
1.98333	-0.11
1.985	-0.112
1.98667	-0.13
1.98833	-0.129
1.99	-0.118
1.99167	-0.122
1.99333	-0.134
1.995	-0.13
1.99667	-0.12
1.99833	-0.123
2	-0.138
2.00167	-0.132
2.00333	-0.117
2.005	-0.121
2.00667	-0.136
2.00833	-0.136
2.01	-0.123
2.01167	-0.128
2.01333	-0.144
2.015	-0.136
2.01667	-0.123
2.01833	-0.13
2.02	-0.146
2.02167	-0.141
2.02333	-0.122
2.025	-0.122
2.02667	-0.139
2.02833	-0.136
2.03	-0.124
2.03167	-0.128
2.03333	-0.142
2.035	-0.139
2.03667	-0.128
2.03833	-0.133
2.04	-0.148
2.04167	-0.145
2.04333	-0.129
2.045	-0.132
2.04667	-0.147
2.04833	-0.145
2.05	-0.134
2.05167	-0.135
2.05333	-0.151
2.055	-0.145
2.05667	-0.125
2.05833	-0.126
2.06	-0.137
2.06167	-0.136
2.06333	-0.122
2.065	-0.129
2.06667	-0.144
2.06833	-0.139
2.07	-0.128
2.07167	-0.131
2.07333	-0.146
2.075	-0.145
2.07667	-0.133
2.07833	-0.136
2.08	-0.151
2.08167	-0.148
2.08333	-0.131
2.085	-0.133
2.08667	-0.145
2.08833	-0.143
2.09	-0.128
2.09167	-0.133
2.09333	-0.15
2.095	-0.149
2.09667	-0.132
2.09833	-0.131
2.1	-0.145
2.10167	-0.142
2.10333	-0.127
2.105	-0.13
2.10667	-0.143
2.10833	-0.14
2.11	-0.123
2.11167	-0.125
2.11333	-0.138
2.115	-0.137
2.11667	-0.126
2.11833	-0.131
2.12	-0.144
2.12167	-0.14
2.12333	-0.125
2.125	-0.127
2.12667	-0.138
2.12833	-0.134
2.13	-0.12
2.13167	-0.123
2.13333	-0.137
2.135	-0.135
2.13667	-0.121
2.13833	-0.123
2.14	-0.137
2.14167	-0.136
2.14333	-0.122
2.145	-0.122
2.14667	-0.137
2.14833	-0.136
2.15	-0.123
2.15167	-0.125
2.15333	-0.137
2.155	-0.139
2.15667	-0.126
2.15833	-0.13
2.16	-0.141
2.16167	-0.139
2.16333	-0.125
2.165	-0.128
2.16667	-0.137
2.16833	-0.138
2.17	-0.123
2.17167	-0.125
2.17333	-0.141
2.175	-0.143
2.17667	-0.131
2.17833	-0.136
2.18	-0.151
2.18167	-0.151
2.18333	-0.134
2.185	-0.134
2.18667	-0.145
2.18833	-0.141
2.19	-0.123
2.19167	-0.126
2.19333	-0.14
2.195	-0.143
2.19667	-0.128
2.19833	-0.129
2.2	-0.142
2.20167	-0.14
2.20333	-0.129
2.205	-0.131
2.20667	-0.142
2.20833	-0.144
2.21	-0.129
2.21167	-0.127
2.21333	-0.139
2.215	-0.142
2.21667	-0.128
2.21833	-0.133
2.22	-0.148
2.22167	-0.148
2.22333	-0.13
2.225	-0.132
2.22667	-0.146
2.22833	-0.145
2.23	-0.13
2.23167	-0.132
2.23333	-0.144
2.235	-0.148
2.23667	-0.128
2.23833	-0.126
2.24	-0.14
2.24167	-0.142
2.24333	-0.124
2.245	-0.126
2.24667	-0.139
2.24833	-0.141
2.25	-0.126
2.25167	-0.129
2.25333	-0.143
2.255	-0.146
2.25667	-0.13
2.25833	-0.128
2.26	-0.141
2.26167	-0.146
2.26333	-0.133
2.265	-0.132
2.26667	-0.142
2.26833	-0.145
2.27	-0.129
2.27167	-0.129
2.27333	-0.143
2.275	-0.151
2.27667	-0.135
2.27833	-0.133
2.28	-0.148
2.28167	-0.149
2.28333	-0.134
2.285	-0.135
2.28667	-0.146
2.28833	-0.149
2.29	-0.137
2.29167	-0.141
2.29333	-0.152
2.295	-0.154
2.29667	-0.138
2.29833	-0.139
2.3	-0.15
2.30167	-0.15
2.30333	-0.133
2.305	-0.134
2.30667	-0.149
2.30833	-0.153
2.31	-0.137
2.31167	-0.137
2.31333	-0.149
2.315	-0.152
2.31667	-0.134
2.31833	-0.13
2.32	-0.141
2.32167	-0.147
2.32333	-0.133
2.325	-0.133
2.32667	-0.149
2.32833	-0.154
2.33	-0.138
2.33167	-0.137
2.33333	-0.151
2.335	-0.154
2.33667	-0.135
2.33833	-0.132
2.34	-0.144
2.34167	-0.147
2.34333	-0.133
2.345	-0.134
2.34667	-0.15
2.34833	-0.154
2.35	-0.138
2.35167	-0.137
2.35333	-0.148
2.355	-0.152
2.35667	-0.136
2.35833	-0.135
2.36	-0.148
2.36167	-0.153
2.36333	-0.139
2.365	-0.139
2.36667	-0.154
2.36833	-0.159
2.37	-0.142
2.37167	-0.143
2.37333	-0.152
2.375	-0.156
2.37667	-0.138
2.37833	-0.136
2.38	-0.149
2.38167	-0.155
2.38333	-0.139
2.385	-0.135
2.38667	-0.145
2.38833	-0.149
2.39	-0.131
2.39167	-0.13
2.39333	-0.142
2.395	-0.154
2.39667	-0.14
2.39833	-0.138
2.4	-0.148
