Calibration Curve RI	
X:	Y:
1.57167	9.000
1.57333	9.000
1.57500	9.000
1.57667	9.000
1.57833	9.000
1.58000	9.000
1.58167	9.000
1.58333	9.000
1.58500	9.000
1.58667	9.000
1.58833	9.000
1.59000	9.000
1.59167	9.000
1.59333	9.000
1.59500	9.000
1.59667	9.000
1.59833	9.000
1.60000	9.000
1.60167	9.000
1.60333	9.000
1.60500	9.000
1.60667	9.000
1.60833	9.000
1.61000	9.000
1.61167	9.000
1.61333	9.000
1.61500	9.000
1.61667	9.000
1.61833	9.000
1.62000	9.000
1.62167	9.000
1.62333	9.000
1.62500	9.000
1.62667	9.000
1.62833	9.000
1.63000	9.000
1.63167	9.000
1.63333	9.000
1.63500	9.000
1.63667	9.000
1.63833	9.000
1.64000	9.000
1.64167	9.000
1.64333	9.000
1.64500	9.000
1.64667	9.000
1.64833	9.000
1.65000	9.000
1.65167	9.000
1.65333	9.000
1.65500	9.000
1.65667	9.000
1.65833	9.000
1.66000	9.000
1.66167	9.000
1.66333	9.000
1.66500	9.000
1.66667	9.000
1.66833	9.000
1.67000	9.000
1.67167	9.000
1.67333	9.000
1.67500	9.000
1.67667	9.000
1.67833	9.000
1.68000	9.000
1.68167	9.000
1.68333	9.000
1.68500	9.000
1.68667	9.000
1.68833	9.000
1.69000	9.000
1.69167	9.000
1.69333	9.000
1.69500	9.000
1.69667	9.000
1.69833	9.000
1.70000	9.000
1.70167	9.000
1.70333	9.000
1.70500	9.000
1.70667	9.000
1.70833	9.000
1.71000	9.000
1.71167	9.000
1.71333	9.000
1.71500	9.000
1.71667	9.000
1.71833	9.000
1.72000	9.000
1.72167	9.000
1.72333	9.000
1.72500	9.000
1.72667	9.000
1.72833	9.000
1.73000	9.000
1.73167	9.000
1.73333	9.000
1.73500	9.000
1.73667	9.000
1.73833	9.000
1.74000	9.000
1.74167	9.000
1.74333	9.000
1.74500	9.000
1.74667	9.000
1.74833	9.000
1.75000	9.000
1.75167	9.000
1.75333	9.000
1.75500	9.000
1.75667	9.000
1.75833	9.000
1.76000	9.000
1.76167	9.000
1.76333	9.000
1.76500	9.000
1.76667	9.000
1.76833	9.000
1.77000	9.000
1.77167	9.000
1.77333	9.000
1.77500	9.000
1.77667	9.000
1.77833	9.000
1.78000	9.000
1.78167	9.000
1.78333	9.000
1.78500	9.000
1.78667	9.000
1.78833	9.000
1.79000	9.000
1.79167	9.000
1.79333	9.000
1.79500	9.000
1.79667	9.000
1.79833	9.000
1.80000	9.000
1.80167	9.000
1.80333	9.000
1.80500	9.000
1.80667	9.000
1.80833	9.000
1.81000	9.000
1.81167	9.000
1.81333	9.000
1.81500	9.000
1.81667	9.000
1.81833	9.000
1.82000	9.000
1.82167	9.000
1.82333	9.000
1.82500	9.000
1.82667	9.000
1.82833	9.000
1.83000	9.000
1.83167	9.000
1.83333	9.000
1.83500	9.000
1.83667	9.000
1.83833	9.000
1.84000	9.000
1.84167	9.000
1.84333	9.000
1.84500	9.000
1.84667	9.000
1.84833	9.000
1.85000	9.000
1.85167	9.000
1.85333	9.000
1.85500	9.000
1.85667	9.000
1.85833	9.000
1.86000	9.000
1.86167	9.000
1.86333	9.000
1.86500	9.000
1.86667	9.000
1.86833	9.000
1.87000	9.000
1.87167	9.000
1.87333	9.000
1.87500	9.000
1.87667	9.000
1.87833	9.000
1.88000	9.000
1.88167	9.000
1.88333	9.000
1.88500	9.000
1.88667	9.000
1.88833	9.000
1.89000	9.000
1.89167	9.000
1.89333	9.000
1.89500	9.000
1.89667	9.000
1.89833	9.000
1.90000	9.000
1.90167	9.000
1.90333	9.000
1.90500	9.000
1.90667	9.000
1.90833	9.000
1.91000	9.000
1.91167	9.000
1.91333	9.000
1.91500	9.000
1.91667	9.000
1.91833	9.000
1.92000	9.000
1.92167	9.000
1.92333	9.000
1.92500	9.000
1.92667	9.000
1.92833	9.000
1.93000	9.000
1.93167	9.000
1.93333	9.000
1.93500	9.000
1.93667	9.000
1.93833	9.000
1.94000	9.000
1.94167	9.000
1.94333	9.000
1.94500	9.000
1.94667	9.000
1.94833	9.000
1.95000	9.000
1.95167	9.000
1.95333	9.000
1.95500	9.000
1.95667	9.000
1.95833	9.000
1.96000	9.000
1.96167	9.000
1.96333	9.000
1.96500	9.000
1.96667	9.000
1.96833	9.000
1.97000	9.000
